annual_income,existing_debt,loan_amount,payment_history_score,employment_years,age,debt_to_income,creditworthy
15000.0,18802.0,11849.0,66.3,4.8,54.0,2.04,0
46046.0,9211.0,15004.0,88.0,8.5,27.0,0.53,1
56428.0,9206.0,19208.0,72.1,3.2,39.0,0.5,1
76602.0,9427.0,4893.0,40.5,12.7,39.0,0.19,1
40671.0,28614.0,1000.0,53.2,0.0,26.0,0.73,0
35447.0,15055.0,11146.0,67.2,11.2,49.0,0.74,1
40968.0,15440.0,6455.0,74.6,5.1,64.0,0.53,1
66477.0,20242.0,11443.0,69.2,9.4,38.0,0.48,1
55918.0,13910.0,13966.0,88.3,6.3,44.0,0.5,1
40464.0,9928.0,11827.0,40.7,10.6,39.0,0.54,1
59239.0,10429.0,25167.0,72.2,4.5,30.0,0.6,1
51747.0,11427.0,17287.0,42.7,1.6,18.0,0.55,0
67436.0,11702.0,17103.0,81.4,11.7,30.0,0.43,1
37363.0,17821.0,19355.0,68.6,5.5,23.0,1.0,0
44102.0,12416.0,7028.0,76.3,6.9,57.0,0.44,1
42942.0,17861.0,22274.0,57.0,10.9,37.0,0.93,0
23657.0,11354.0,14470.0,89.2,1.9,34.0,1.09,0
55330.0,12629.0,19693.0,85.6,8.4,48.0,0.58,1
54699.0,0.0,7497.0,78.8,3.6,26.0,0.14,1
50092.0,19331.0,4124.0,68.1,5.5,30.0,0.47,1
45777.0,14772.0,20725.0,78.7,6.3,39.0,0.78,0
24523.0,19984.0,17635.0,59.4,0.0,49.0,1.53,0
42428.0,0.0,8686.0,82.8,2.9,44.0,0.2,1
43831.0,28707.0,8912.0,94.7,11.4,41.0,0.86,1
35559.0,10883.0,22878.0,86.1,9.5,39.0,0.95,1
47097.0,20865.0,6674.0,59.1,5.7,42.0,0.58,0
57273.0,3681.0,26499.0,75.4,7.0,40.0,0.53,1
83951.0,16902.0,8696.0,50.6,4.8,27.0,0.3,1
53142.0,3573.0,19469.0,78.6,11.4,39.0,0.43,1
54636.0,7010.0,12700.0,76.8,5.2,26.0,0.36,1
48660.0,27312.0,19222.0,42.0,6.9,39.0,0.96,0
15462.0,10475.0,11191.0,52.6,10.6,33.0,1.4,0
49523.0,13739.0,13860.0,65.8,2.9,66.0,0.56,0
51084.0,18961.0,15286.0,65.5,12.2,38.0,0.67,1
94338.0,15965.0,7985.0,51.9,0.0,23.0,0.25,0
46538.0,13203.0,20186.0,75.8,12.5,37.0,0.72,1
55428.0,14920.0,11408.0,73.8,4.5,44.0,0.47,0
49375.0,31227.0,13400.0,67.1,5.0,56.0,0.9,0
28964.0,11539.0,8040.0,58.7,0.0,32.0,0.68,0
70571.0,13609.0,1000.0,85.7,4.2,21.0,0.21,1
63535.0,20405.0,13663.0,94.8,1.8,47.0,0.54,1
64239.0,20844.0,31888.0,62.7,3.6,23.0,0.82,0
33631.0,21496.0,20492.0,60.8,5.5,33.0,1.25,0
75250.0,17110.0,14865.0,77.4,9.8,35.0,0.42,1
24767.0,2856.0,13160.0,64.6,6.8,37.0,0.65,1
60563.0,25067.0,15157.0,67.9,7.2,46.0,0.66,1
89428.0,2829.0,18830.0,81.1,1.6,30.0,0.24,1
32170.0,14421.0,6734.0,41.4,2.5,35.0,0.66,0
39807.0,5966.0,22800.0,89.8,13.2,38.0,0.72,1
51794.0,11487.0,20008.0,71.1,3.1,40.0,0.61,0
40937.0,14630.0,20027.0,63.8,12.6,39.0,0.85,0
22088.0,14571.0,18069.0,68.7,5.0,43.0,1.48,0
51234.0,15375.0,15137.0,69.4,6.0,47.0,0.6,0
30879.0,24910.0,19710.0,44.0,10.3,42.0,1.45,1
58525.0,15628.0,19143.0,92.4,11.1,43.0,0.59,1
33450.0,10047.0,12522.0,70.6,5.6,21.0,0.67,0
77899.0,19713.0,10985.0,76.6,4.4,39.0,0.39,1
35901.0,21516.0,15713.0,84.3,5.8,43.0,1.04,1
44203.0,2179.0,25843.0,54.7,7.4,46.0,0.63,0
64643.0,16779.0,6326.0,77.1,9.6,30.0,0.36,1
27844.0,17609.0,4727.0,66.0,6.0,31.0,0.8,1
54094.0,9619.0,16153.0,82.7,8.5,32.0,0.48,1
73529.0,23006.0,15356.0,38.1,12.6,44.0,0.52,0
21065.0,10800.0,16213.0,68.5,7.5,49.0,1.28,0
53323.0,13005.0,16708.0,61.0,7.2,34.0,0.56,1
54678.0,10615.0,13438.0,76.5,0.0,48.0,0.44,1
64073.0,12125.0,25429.0,77.1,0.0,39.0,0.59,0
27735.0,3230.0,3794.0,59.4,7.6,37.0,0.25,1
26232.0,480.0,9201.0,59.3,5.6,36.0,0.37,1
59395.0,24756.0,14277.0,68.3,3.9,46.0,0.66,0
55346.0,5224.0,3498.0,56.6,7.0,42.0,0.16,1
54509.0,4069.0,13769.0,82.6,5.8,63.0,0.33,1
56236.0,0.0,26630.0,64.5,10.5,29.0,0.47,1
37760.0,6888.0,15146.0,26.4,6.3,44.0,0.58,0
54181.0,1415.0,16615.0,64.4,3.0,32.0,0.33,0
55275.0,25136.0,6179.0,54.4,10.0,28.0,0.57,1
37142.0,20079.0,10685.0,45.5,5.1,38.0,0.83,0
83584.0,6495.0,12374.0,51.4,8.1,40.0,0.23,1
58529.0,30019.0,12776.0,71.6,4.1,70.0,0.73,0
28557.0,19854.0,23972.0,89.9,3.4,36.0,1.53,0
61818.0,9401.0,18904.0,74.7,6.3,26.0,0.46,0
32456.0,0.0,7220.0,60.9,6.1,41.0,0.22,1
64168.0,30328.0,16726.0,76.8,7.9,18.0,0.73,1
70855.0,883.0,18488.0,63.1,4.9,37.0,0.27,0
35228.0,0.0,22981.0,59.6,0.0,38.0,0.65,0
67341.0,20181.0,26064.0,52.7,4.3,47.0,0.69,1
57430.0,31518.0,7894.0,43.7,9.2,49.0,0.69,0
64797.0,23074.0,9324.0,64.2,4.8,32.0,0.5,1
84142.0,16511.0,6197.0,72.4,5.0,36.0,0.27,1
45583.0,16758.0,13362.0,68.6,9.9,30.0,0.66,1
36433.0,18827.0,18265.0,63.8,3.2,26.0,1.02,0
33989.0,18071.0,21911.0,55.8,0.0,41.0,1.18,0
35315.0,14250.0,14468.0,79.1,5.4,24.0,0.81,1
48612.0,12834.0,12761.0,50.2,4.1,33.0,0.53,0
56141.0,11499.0,16062.0,81.6,2.1,27.0,0.49,0
54980.0,5968.0,9154.0,55.0,5.3,44.0,0.28,1
64889.0,9755.0,29627.0,58.7,8.0,58.0,0.61,0
50234.0,0.0,3746.0,48.0,6.0,24.0,0.07,1
76164.0,11213.0,16293.0,62.5,7.2,18.0,0.36,1
45236.0,4091.0,29165.0,84.6,13.3,37.0,0.74,1
98963.0,3171.0,15048.0,77.7,4.6,38.0,0.18,1
61262.0,13439.0,13670.0,84.7,7.1,40.0,0.44,1
34571.0,23136.0,12498.0,77.8,4.0,33.0,1.03,0
30724.0,19347.0,13737.0,53.4,2.6,36.0,1.08,0
58685.0,0.0,24610.0,65.0,3.7,42.0,0.42,1
45978.0,4083.0,1000.0,58.3,4.1,49.0,0.11,1
62852.0,19526.0,25734.0,90.0,7.4,18.0,0.72,1
58518.0,4140.0,5032.0,52.0,15.4,34.0,0.16,1
48689.0,10203.0,13133.0,83.4,3.1,40.0,0.48,1
34758.0,16400.0,11995.0,83.4,4.3,28.0,0.82,1
22733.0,4253.0,19120.0,97.4,5.7,57.0,1.03,1
41963.0,12843.0,3813.0,63.9,7.6,31.0,0.4,1
65415.0,1328.0,18235.0,80.7,7.1,38.0,0.3,1
53854.0,7189.0,29170.0,100.0,11.1,44.0,0.68,1
27577.0,14558.0,5458.0,60.7,0.0,31.0,0.73,0
53117.0,0.0,16328.0,47.0,0.0,18.0,0.31,0
56936.0,15524.0,10366.0,41.8,4.0,33.0,0.45,0
34091.0,11843.0,17981.0,80.7,10.4,49.0,0.87,0
52767.0,16420.0,15134.0,41.8,0.0,34.0,0.6,0
51048.0,13791.0,10510.0,64.4,0.0,29.0,0.48,0
29427.0,22913.0,18415.0,76.6,8.3,48.0,1.4,0
56440.0,13002.0,27630.0,72.8,7.0,34.0,0.72,0
60094.0,8565.0,13664.0,76.4,1.6,32.0,0.37,0
69495.0,12978.0,20038.0,73.3,2.1,40.0,0.48,1
68968.0,16346.0,5947.0,89.2,2.1,46.0,0.32,1
25202.0,12391.0,8305.0,55.7,6.4,64.0,0.82,0
33119.0,12325.0,18307.0,59.8,3.5,47.0,0.92,0
59271.0,6384.0,25389.0,58.4,8.0,51.0,0.54,1
59248.0,6697.0,17489.0,82.5,0.0,32.0,0.41,1
59271.0,779.0,12809.0,83.5,2.6,27.0,0.23,1
119349.0,25997.0,14995.0,76.8,1.5,39.0,0.34,1
60276.0,2049.0,6247.0,87.8,5.0,39.0,0.14,1
70440.0,6457.0,19232.0,52.3,3.8,26.0,0.36,0
67172.0,6253.0,21176.0,95.0,9.2,36.0,0.41,1
61725.0,19159.0,11835.0,92.8,0.0,42.0,0.5,0
44325.0,9640.0,11710.0,81.0,6.2,42.0,0.48,1
63661.0,21982.0,16861.0,96.7,8.2,44.0,0.61,1
36089.0,6612.0,11943.0,45.2,13.4,41.0,0.51,1
45737.0,14232.0,14537.0,62.1,4.1,32.0,0.63,0
41263.0,5317.0,29698.0,59.0,7.3,32.0,0.85,0
51474.0,29161.0,13271.0,80.8,0.0,25.0,0.82,1
91664.0,2499.0,12492.0,54.2,0.0,58.0,0.16,1
16389.0,14479.0,10467.0,81.4,9.4,38.0,1.52,1
62353.0,17070.0,20209.0,90.6,6.0,36.0,0.6,1
20971.0,15310.0,13731.0,80.4,10.7,28.0,1.38,1
41505.0,10518.0,10454.0,74.3,0.5,70.0,0.51,1
69601.0,10961.0,24249.0,55.2,8.1,26.0,0.51,1
51157.0,12350.0,24937.0,57.3,13.5,33.0,0.73,0
30601.0,10824.0,10797.0,88.7,7.7,43.0,0.71,1
37125.0,19711.0,1934.0,81.7,7.1,45.0,0.58,1
62233.0,29684.0,22053.0,69.4,6.0,49.0,0.83,0
36853.0,7540.0,10208.0,63.7,0.0,58.0,0.48,0
53896.0,1042.0,20534.0,39.6,11.4,44.0,0.4,0
50820.0,11294.0,1209.0,53.9,3.6,26.0,0.25,1
38271.0,32638.0,21248.0,98.7,8.0,35.0,1.41,0
88591.0,5571.0,6522.0,50.8,0.0,41.0,0.14,0
61411.0,25113.0,20115.0,72.8,1.3,61.0,0.74,0
15000.0,25422.0,15100.0,85.1,11.7,23.0,2.7,1
53356.0,7571.0,8322.0,51.2,4.6,51.0,0.3,1
38088.0,16552.0,12151.0,72.8,11.8,40.0,0.75,1
65344.0,25027.0,19804.0,84.1,5.7,47.0,0.69,1
35735.0,8967.0,15741.0,70.2,0.0,37.0,0.69,0
47935.0,10371.0,19091.0,100.0,9.6,29.0,0.61,1
59090.0,7347.0,28835.0,45.0,3.6,46.0,0.61,0
65584.0,3882.0,4050.0,85.9,8.8,45.0,0.12,1
28395.0,6806.0,26320.0,67.4,6.1,49.0,1.17,0
43979.0,2208.0,15730.0,81.6,0.0,38.0,0.41,1
41451.0,12273.0,8709.0,76.6,6.7,31.0,0.51,1
38240.0,5840.0,5688.0,59.0,14.8,21.0,0.3,1
81778.0,13870.0,13676.0,73.4,8.0,47.0,0.34,1
57290.0,0.0,21452.0,42.1,5.8,43.0,0.37,1
27304.0,14647.0,14107.0,79.0,10.3,27.0,1.05,0
66522.0,18668.0,25578.0,74.5,6.8,32.0,0.67,1
88199.0,0.0,4842.0,79.6,6.8,33.0,0.05,1
68584.0,14992.0,14915.0,85.9,1.6,22.0,0.44,1
22651.0,21821.0,6233.0,75.5,6.9,29.0,1.24,0
41284.0,2323.0,17545.0,72.2,10.1,26.0,0.48,0
72804.0,25381.0,21208.0,56.8,2.7,33.0,0.64,1
37262.0,15352.0,12055.0,59.3,11.7,30.0,0.74,0
57989.0,6360.0,1000.0,87.8,5.6,20.0,0.13,1
63943.0,11554.0,16393.0,91.5,2.4,60.0,0.44,1
33315.0,16467.0,18057.0,66.4,10.0,52.0,1.04,1
48929.0,12608.0,17830.0,70.7,4.9,29.0,0.62,1
15000.0,16310.0,23650.0,56.4,9.0,41.0,2.66,0
31561.0,4635.0,7503.0,87.6,4.8,43.0,0.38,1
45454.0,13355.0,19762.0,80.0,5.8,51.0,0.73,0
27540.0,690.0,23348.0,99.1,8.0,29.0,0.87,1
79383.0,11110.0,2550.0,56.8,7.2,50.0,0.17,1
24257.0,4769.0,17238.0,64.3,0.0,32.0,0.91,0
42079.0,6116.0,11471.0,73.5,1.5,23.0,0.42,1
52353.0,21889.0,14429.0,79.7,9.7,46.0,0.69,1
75943.0,20730.0,17434.0,66.8,5.5,52.0,0.5,1
24154.0,16873.0,11589.0,56.9,3.9,66.0,1.18,0
70937.0,3261.0,10270.0,83.2,0.6,25.0,0.19,1
50184.0,9469.0,15239.0,80.8,1.7,46.0,0.49,0
32333.0,21705.0,7389.0,56.3,0.0,33.0,0.9,0
58318.0,13134.0,7399.0,90.3,5.6,47.0,0.35,1
53583.0,30555.0,19756.0,87.6,3.6,22.0,0.94,1
39196.0,15147.0,6958.0,72.0,2.1,24.0,0.56,0
51256.0,13536.0,19664.0,71.2,5.7,29.0,0.65,0
43064.0,9527.0,18238.0,78.3,7.5,39.0,0.64,1
52043.0,13068.0,2919.0,57.1,14.4,31.0,0.31,1
61918.0,10780.0,10257.0,70.5,0.0,45.0,0.34,1
78548.0,17665.0,23359.0,37.7,10.6,49.0,0.52,1
27719.0,19654.0,8132.0,83.1,9.9,45.0,1.0,1
88395.0,5712.0,11749.0,46.6,2.9,56.0,0.2,0
15000.0,1350.0,18234.0,92.6,6.8,43.0,1.31,0
47268.0,0.0,20484.0,65.0,4.2,25.0,0.43,0
60590.0,16064.0,13239.0,66.8,6.7,53.0,0.48,1
55058.0,3173.0,10817.0,60.6,12.0,31.0,0.25,1
38791.0,0.0,24957.0,65.7,8.4,48.0,0.64,1
46254.0,15109.0,27172.0,91.3,8.0,55.0,0.91,1
41126.0,31944.0,21852.0,32.7,4.3,43.0,1.31,0
39391.0,11951.0,15597.0,89.2,0.1,22.0,0.7,1
65293.0,18708.0,9342.0,75.1,5.2,28.0,0.43,1
56426.0,12655.0,9187.0,51.9,10.8,53.0,0.39,0
37528.0,11209.0,18658.0,53.9,0.0,36.0,0.8,0
66193.0,19353.0,17929.0,95.1,1.8,39.0,0.56,1
55531.0,9678.0,24811.0,55.8,6.5,46.0,0.62,0
64632.0,14139.0,19553.0,52.7,2.1,46.0,0.52,0
61333.0,14574.0,4478.0,87.1,2.8,41.0,0.31,1
35078.0,6655.0,22364.0,75.1,4.3,36.0,0.83,0
39917.0,19936.0,8014.0,55.9,0.5,35.0,0.7,0
63451.0,10600.0,12312.0,73.2,2.1,47.0,0.36,1
60987.0,5954.0,16751.0,54.6,8.8,44.0,0.37,1
49624.0,16292.0,28970.0,86.5,0.8,35.0,0.91,0
52112.0,4812.0,36769.0,85.9,0.0,50.0,0.8,1
72998.0,12225.0,19247.0,78.0,3.5,37.0,0.43,1
39352.0,11927.0,13718.0,75.4,8.9,29.0,0.65,1
59848.0,20687.0,18742.0,96.4,5.2,30.0,0.66,1
46361.0,15798.0,21214.0,70.0,4.1,27.0,0.8,0
46082.0,11800.0,12755.0,52.3,6.2,35.0,0.53,0
69778.0,18542.0,27566.0,76.7,0.0,52.0,0.66,1
64857.0,23122.0,16610.0,100.0,8.0,29.0,0.61,1
64643.0,16462.0,18484.0,54.8,7.5,40.0,0.54,1
73499.0,12083.0,19661.0,64.6,4.4,31.0,0.43,1
50378.0,1505.0,17951.0,76.2,10.0,35.0,0.39,1
62275.0,3479.0,20873.0,69.2,1.5,21.0,0.39,1
44415.0,9558.0,10679.0,55.3,10.5,36.0,0.46,1
55835.0,7124.0,11092.0,86.8,6.6,36.0,0.33,1
47657.0,10504.0,7299.0,100.0,4.7,44.0,0.37,1
51746.0,12453.0,18077.0,72.9,5.9,40.0,0.59,1
60713.0,16238.0,20453.0,56.4,5.6,25.0,0.6,0
35272.0,11436.0,18204.0,46.8,10.9,50.0,0.84,0
87663.0,15892.0,26721.0,73.9,1.7,40.0,0.49,1
31892.0,12516.0,14961.0,86.6,2.9,40.0,0.86,0
28145.0,0.0,19681.0,77.1,10.1,38.0,0.7,1
70846.0,4485.0,7358.0,70.0,3.6,32.0,0.17,1
64250.0,10847.0,12290.0,61.2,9.6,40.0,0.36,1
61234.0,2322.0,19869.0,53.6,12.8,43.0,0.36,1
61310.0,16799.0,20944.0,82.5,4.4,19.0,0.62,1
49780.0,24246.0,12942.0,83.7,8.7,32.0,0.75,1
33849.0,21750.0,14499.0,46.8,1.4,35.0,1.07,0
51364.0,10292.0,4375.0,93.8,9.0,41.0,0.29,1
37811.0,23926.0,12501.0,78.6,6.8,51.0,0.96,0
67552.0,13189.0,21233.0,91.0,7.9,30.0,0.51,1
47353.0,9303.0,19026.0,49.9,3.4,33.0,0.6,0
35141.0,7093.0,18505.0,49.5,0.0,32.0,0.73,0
44215.0,9580.0,15348.0,67.8,8.0,29.0,0.56,1
57433.0,8895.0,15049.0,77.5,0.0,34.0,0.42,1
39853.0,13363.0,10378.0,96.9,4.7,46.0,0.6,1
35200.0,13285.0,19892.0,80.6,9.8,26.0,0.94,0
54386.0,12024.0,17947.0,66.4,6.8,43.0,0.55,1
54409.0,15496.0,18444.0,54.6,13.8,19.0,0.62,1
40875.0,21525.0,11318.0,88.5,10.1,32.0,0.8,1
41521.0,19596.0,1000.0,55.5,3.4,34.0,0.5,0
54177.0,121.0,22680.0,94.4,6.1,56.0,0.42,1
23934.0,0.0,11648.0,65.7,5.8,35.0,0.49,1
24666.0,19475.0,8961.0,93.9,0.0,18.0,1.15,1
37068.0,1065.0,19854.0,80.2,2.2,18.0,0.56,0
46158.0,10202.0,12256.0,67.9,3.8,38.0,0.49,0
55596.0,2639.0,22420.0,62.2,0.0,45.0,0.45,1
76556.0,0.0,19319.0,64.9,6.2,42.0,0.25,1
65438.0,16332.0,19785.0,76.4,5.0,40.0,0.55,0
47121.0,18073.0,5438.0,71.2,0.0,51.0,0.5,1
49658.0,7388.0,23484.0,61.1,7.6,32.0,0.62,0
31954.0,0.0,16829.0,67.5,8.9,48.0,0.53,1
49667.0,7630.0,12415.0,71.2,6.9,20.0,0.4,1
44804.0,15134.0,16004.0,38.1,4.7,28.0,0.69,0
55809.0,169.0,2566.0,76.9,8.4,18.0,0.05,1
35110.0,13467.0,17861.0,55.3,8.7,35.0,0.89,0
59348.0,11878.0,7794.0,52.7,7.2,37.0,0.33,1
77589.0,16634.0,5531.0,44.7,2.7,39.0,0.29,1
48042.0,12957.0,4343.0,43.1,7.1,39.0,0.36,0
57231.0,4215.0,22789.0,49.7,10.8,28.0,0.47,1
62423.0,21573.0,10595.0,59.4,3.6,36.0,0.52,1
42778.0,10732.0,25736.0,99.3,14.4,22.0,0.85,1
54034.0,11782.0,11249.0,62.1,3.9,53.0,0.43,0
50227.0,4534.0,3048.0,72.7,6.1,35.0,0.15,1
51758.0,8454.0,7184.0,76.0,3.3,33.0,0.3,1
36086.0,4922.0,23651.0,72.0,6.9,55.0,0.79,0
50441.0,10616.0,13909.0,68.8,0.0,24.0,0.49,0
58964.0,25694.0,11162.0,52.1,3.8,26.0,0.63,0
76121.0,1025.0,16120.0,91.8,1.6,26.0,0.23,1
67267.0,0.0,18512.0,97.1,6.5,37.0,0.28,1
88757.0,23769.0,22822.0,44.8,10.0,43.0,0.52,1
36188.0,10325.0,25139.0,54.6,8.6,46.0,0.98,0
65702.0,6647.0,12482.0,65.8,0.0,66.0,0.29,1
53300.0,20319.0,5718.0,55.5,14.2,18.0,0.49,1
89416.0,7155.0,12106.0,77.6,7.2,45.0,0.22,1
35451.0,26608.0,16822.0,59.1,2.9,32.0,1.23,0
34885.0,17423.0,8254.0,100.0,6.6,32.0,0.74,1
39211.0,8097.0,8300.0,87.9,6.7,31.0,0.42,1
15000.0,29258.0,17407.0,73.2,3.3,28.0,3.11,0
40536.0,7154.0,14659.0,85.4,6.8,57.0,0.54,1
36336.0,17937.0,15230.0,86.6,3.6,47.0,0.91,1
52707.0,14394.0,9691.0,61.5,4.4,38.0,0.46,1
56152.0,22414.0,13387.0,57.8,3.3,53.0,0.64,0
83771.0,24492.0,8530.0,71.2,0.3,21.0,0.39,0
67108.0,12256.0,21231.0,82.9,6.6,23.0,0.5,1
39616.0,5973.0,22247.0,72.1,8.3,18.0,0.71,1
33829.0,15680.0,2077.0,46.3,8.1,30.0,0.52,0
58855.0,6578.0,8493.0,58.0,9.3,40.0,0.26,1
26236.0,28107.0,4524.0,68.9,7.3,39.0,1.24,0
82966.0,13092.0,10450.0,68.9,3.9,40.0,0.28,1
71230.0,9077.0,14416.0,99.6,9.4,22.0,0.33,1
41555.0,13477.0,4852.0,49.2,0.6,47.0,0.44,0
19164.0,1223.0,8547.0,77.6,2.4,41.0,0.51,1
74370.0,4227.0,7972.0,92.3,2.1,46.0,0.16,1
47938.0,21603.0,16451.0,100.0,10.3,18.0,0.79,1
72281.0,6745.0,15485.0,63.9,9.8,41.0,0.31,1
21300.0,3625.0,9948.0,77.4,7.9,25.0,0.64,1
39211.0,16293.0,16238.0,78.5,10.3,34.0,0.83,1
50094.0,21486.0,11173.0,72.9,2.5,44.0,0.65,0
50846.0,17752.0,13098.0,68.5,7.4,39.0,0.61,1
41899.0,19968.0,26714.0,76.5,5.5,29.0,1.11,0
61211.0,5946.0,24383.0,32.0,9.4,38.0,0.5,1
30783.0,626.0,5903.0,80.2,5.5,21.0,0.21,1
47437.0,24011.0,20808.0,71.9,4.5,51.0,0.94,0
52165.0,9419.0,20680.0,66.7,8.2,36.0,0.58,1
59260.0,9993.0,6962.0,100.0,9.5,50.0,0.29,1
62809.0,22626.0,20731.0,59.9,3.3,32.0,0.69,0
29756.0,16450.0,25766.0,64.0,5.8,32.0,1.42,0
22386.0,15647.0,7142.0,99.9,1.8,30.0,1.02,0
72998.0,29320.0,8577.0,57.5,0.0,48.0,0.52,0
55982.0,6852.0,22124.0,61.7,6.8,30.0,0.52,1
36527.0,19423.0,16900.0,67.8,8.4,45.0,0.99,0
77921.0,12456.0,18860.0,82.6,7.0,34.0,0.4,1
52082.0,14149.0,17384.0,73.1,0.0,18.0,0.61,1
71227.0,24228.0,17735.0,50.6,4.6,32.0,0.59,0
51215.0,16063.0,5715.0,62.0,0.0,25.0,0.43,0
87093.0,16306.0,22331.0,60.9,11.5,38.0,0.44,1
81596.0,20580.0,23187.0,68.8,1.7,25.0,0.54,0
